Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Learning Rate,Duration
1,1.5970429976781209,31.25,1.5205278396606445,100.0,0.001,0:00:42.325205
2,1.5371650854746501,68.75,1.3940085768699646,100.0,0.001,0:00:35.892491
3,1.4911290804545085,77.08333333333333,1.197077453136444,100.0,0.001,0:00:38.771795
4,1.4169130722681682,85.41666666666667,0.9798964858055115,100.0,0.001,0:00:36.687599
5,1.2891170978546143,95.83333333333333,0.7684761583805084,100.0,0.001,0:01:06.576140
6,1.179076115290324,91.66666666666667,0.5826579481363297,100.0,0.001,0:00:29.677673
7,1.023657540480296,97.91666666666667,0.4189928323030472,100.0,0.001,0:00:29.044826
8,0.8778454462687174,97.91666666666667,0.2749027833342552,100.0,0.001,0:00:28.889553
9,0.712889552116394,95.83333333333333,0.18202084302902222,100.0,0.001,0:00:28.924815
10,0.5948392351468405,100.0,0.1196567714214325,100.0,0.001,0:00:28.656228
11,0.48027565081914264,97.91666666666667,0.0723559744656086,100.0,0.001,0:00:28.964955
12,0.34398093819618225,97.91666666666667,0.044184597209095955,100.0,0.001,0:00:28.776707
13,0.3620341221491496,95.83333333333333,0.02500998880714178,100.0,0.001,0:00:30.470846
14,0.2759000559647878,95.83333333333333,0.018037772737443447,100.0,0.001,0:00:29.801400
15,0.29145582020282745,97.91666666666667,0.020347315352410078,100.0,0.0001,0:00:29.409467
16,0.11544837057590485,100.0,0.025207635015249252,100.0,0.0001,0:00:28.789219
17,0.1328744739294052,100.0,0.02902473695576191,100.0,0.0001,0:00:28.781267
18,0.16608175883690515,97.91666666666667,0.03148259501904249,100.0,0.0001,0:00:28.781414
19,0.15584390113751093,100.0,0.03395460173487663,100.0,0.0001,0:00:28.724536
20,0.14406474928061166,100.0,0.035485029220581055,100.0,0.0001,0:00:28.955591
21,0.12734191368023554,100.0,0.03693674225360155,100.0,0.0001,0:00:28.789390
22,0.10853674014409383,100.0,0.0362167339771986,100.0,0.0001,0:00:28.329576
23,0.1344745879371961,97.91666666666667,0.03549112379550934,100.0,0.0001,0:00:28.649153
24,0.12911644329627356,100.0,0.03407978266477585,100.0,0.0001,0:00:28.671546
25,0.10772297283013661,100.0,0.03460466954857111,100.0,0.0001,0:00:28.852848
26,0.18669029573599497,97.91666666666667,0.033690148033201694,100.0,0.0001,0:00:28.584018
27,0.1233118399977684,100.0,0.034038971178233624,100.0,0.0001,0:00:28.568001
28,0.15092496325572333,95.83333333333333,0.033382147550582886,100.0,0.0001,0:00:28.769442
29,0.1561974659562111,97.91666666666667,0.03393329307436943,100.0,0.0001,0:00:28.975314
30,0.11353879670302074,100.0,0.031748369336128235,100.0,1e-05,0:00:28.732821
31,0.10437291860580444,100.0,0.03217744268476963,100.0,1e-05,0:00:28.759368
32,0.1246640607714653,100.0,0.03286416083574295,100.0,1e-05,0:00:28.628903
33,0.103398231168588,100.0,0.032349713146686554,100.0,1e-05,0:00:29.480942
34,0.09030921757221222,100.0,0.032353732734918594,100.0,1e-05,0:00:28.885085
35,0.14665439476569495,100.0,0.033666303381323814,100.0,1e-05,0:00:29.092243
36,0.17783291637897491,97.91666666666667,0.03294756915420294,100.0,1e-05,0:00:31.115609
37,0.0988962451616923,100.0,0.03305767010897398,100.0,1e-05,0:00:42.764056
38,0.10732113569974899,100.0,0.03291293140500784,100.0,1e-05,0:00:36.000529
39,0.12286946425835292,100.0,0.03220695070922375,100.0,1e-05,0:00:37.100124
40,0.11445481826861699,100.0,0.03277735598385334,100.0,1e-05,0:00:46.170020
41,0.10223204518357913,100.0,0.031427305191755295,100.0,1e-05,0:00:35.477011
42,0.3449695905049642,91.66666666666667,0.029092783108353615,100.0,1e-05,0:00:37.294919
43,0.13952263196309408,100.0,0.029335081577301025,100.0,1e-05,0:00:34.986296
44,0.12491912394762039,100.0,0.02968113962560892,100.0,1e-05,0:00:34.122145
45,0.15129772822062174,97.91666666666667,0.029699848033487797,100.0,1.0000000000000002e-06,0:00:33.833954
46,0.0952776273091634,100.0,0.03162694629281759,100.0,1.0000000000000002e-06,0:00:36.778684
47,0.11531946311394374,100.0,0.03144313860684633,100.0,1.0000000000000002e-06,0:00:35.602448
48,0.11653778453667958,100.0,0.031319016590714455,100.0,1.0000000000000002e-06,0:00:31.964017
49,0.14559467881917953,100.0,0.030358346179127693,100.0,1.0000000000000002e-06,0:00:36.212322
50,0.08030979832013448,100.0,0.03024195972830057,100.0,1.0000000000000002e-06,0:00:35.293228
